Epoch,AUPRC,Loss,BCE,KLD
1,0.2800,190.5727,11.2972,179.2755
2,0.3148,25.0946,10.6506,14.4440
3,0.3276,11.7568,10.4487,1.3081
4,0.3384,10.5137,10.2841,0.2296
5,0.3484,10.2533,10.1538,0.0995
6,0.3536,10.1166,10.0445,0.0721
7,0.3554,10.0488,9.9837,0.0651
8,0.3556,9.9870,9.9267,0.0603
9,0.3590,9.9554,9.8975,0.0579
10,0.3597,9.8928,9.8372,0.0557
11,0.3601,9.8420,9.7892,0.0529
12,0.3592,9.8163,9.7639,0.0524
13,0.3602,9.8079,9.7565,0.0513
14,0.3595,9.8004,9.7497,0.0507
15,0.3604,9.7626,9.7119,0.0508
16,0.3606,9.7527,9.7036,0.0491
17,0.3604,9.7461,9.6979,0.0482
18,0.3601,9.7357,9.6872,0.0485
19,0.3595,9.7084,9.6610,0.0474
20,0.3593,9.7031,9.6553,0.0478
21,0.3591,9.7010,9.6540,0.0470
22,0.3591,9.6931,9.6458,0.0473
23,0.3592,9.6884,9.6411,0.0473
24,0.3593,9.6622,9.6141,0.0480
25,0.3595,9.6656,9.6184,0.0472
26,0.3594,9.6774,9.6312,0.0463
27,0.3593,9.6539,9.6067,0.0472
28,0.3592,9.6725,9.6264,0.0462
29,0.3592,9.6735,9.6275,0.0461
30,0.3593,9.6705,9.6240,0.0466
31,0.3593,9.6408,9.5945,0.0463
32,0.3594,9.6480,9.6023,0.0457
33,0.3592,9.6379,9.5927,0.0451
34,0.3592,9.6391,9.5937,0.0454
35,0.3591,9.6272,9.5818,0.0454
36,0.3591,9.6337,9.5881,0.0455
37,0.3592,9.6539,9.6085,0.0455
38,0.3592,9.6532,9.6076,0.0456
39,0.3592,9.6144,9.5693,0.0451
40,0.3592,9.6563,9.6102,0.0460
41,0.3592,9.6310,9.5855,0.0455
42,0.3592,9.6550,9.6091,0.0459
43,0.3593,9.6530,9.6075,0.0455
44,0.3593,9.6461,9.6008,0.0453
45,0.3593,9.6300,9.5836,0.0464
46,0.3593,9.6468,9.6012,0.0456
47,0.3593,9.6440,9.5980,0.0460
48,0.3593,9.6298,9.5842,0.0455
49,0.3593,9.6213,9.5758,0.0456
50,0.3593,9.6448,9.5995,0.0453
