Epoch,AUPRC,Loss,BCE,KLD
1,0.2785,12.5943,11.2288,203.8015
2,0.3015,10.8098,10.5737,35.2347
3,0.3210,10.4052,10.3263,11.7854
4,0.3313,10.2536,10.2158,5.6370
5,0.3365,10.1038,10.0809,3.4158
6,0.3370,9.9790,9.9620,2.5343
7,0.3401,9.9311,9.9164,2.1915
8,0.3403,9.8785,9.8656,1.9265
9,0.3415,9.8369,9.8249,1.7925
10,0.3432,9.7537,9.7428,1.6335
11,0.3446,9.7287,9.7187,1.4900
12,0.3450,9.6989,9.6893,1.4248
13,0.3463,9.6631,9.6538,1.4000
14,0.3477,9.6655,9.6562,1.3782
15,0.3482,9.6188,9.6099,1.3219
16,0.3490,9.6172,9.6086,1.2845
17,0.3493,9.6025,9.5940,1.2723
18,0.3495,9.5761,9.5676,1.2627
19,0.3500,9.5701,9.5617,1.2623
20,0.3502,9.5986,9.5903,1.2396
21,0.3505,9.6031,9.5949,1.2233
22,0.3501,9.5586,9.5504,1.2160
23,0.3501,9.5560,9.5479,1.2071
24,0.3503,9.5498,9.5417,1.2012
25,0.3506,9.5265,9.5185,1.1953
26,0.3508,9.5294,9.5214,1.1939
27,0.3509,9.5147,9.5067,1.1886
28,0.3510,9.5386,9.5308,1.1789
29,0.3510,9.5001,9.4922,1.1802
30,0.3509,9.5274,9.5194,1.1814
31,0.3511,9.5241,9.5163,1.1775
32,0.3510,9.5018,9.4940,1.1733
33,0.3511,9.4933,9.4855,1.1724
34,0.3511,9.5168,9.5090,1.1672
35,0.3511,9.5273,9.5195,1.1689
36,0.3512,9.4799,9.4721,1.1664
37,0.3512,9.5232,9.5154,1.1680
38,0.3512,9.4938,9.4860,1.1702
39,0.3512,9.5192,9.5114,1.1713
40,0.3512,9.5228,9.5150,1.1652
41,0.3512,9.5083,9.5005,1.1702
42,0.3513,9.5137,9.5059,1.1647
43,0.3513,9.5068,9.4991,1.1569
44,0.3513,9.5115,9.5036,1.1689
45,0.3513,9.5166,9.5088,1.1620
46,0.3513,9.4791,9.4713,1.1632
47,0.3513,9.5001,9.4923,1.1609
48,0.3513,9.4960,9.4882,1.1628
49,0.3513,9.4980,9.4901,1.1644
50,0.3513,9.4939,9.4861,1.1619
