Epoch,AUPRC,Loss,BCE,KLD
1,0.2747,185.4158,11.2698,174.1460
2,0.3006,23.7970,10.6850,13.1120
3,0.3125,11.6314,10.5047,1.1267
4,0.3202,10.5656,10.3599,0.2057
5,0.3295,10.3131,10.2233,0.0898
6,0.3309,10.1854,10.1221,0.0633
7,0.3316,10.1168,10.0613,0.0556
8,0.3337,10.0826,10.0312,0.0515
9,0.3353,10.0424,9.9941,0.0483
10,0.3360,9.9587,9.9123,0.0464
11,0.3363,9.9310,9.8883,0.0427
12,0.3377,9.8919,9.8493,0.0426
13,0.3378,9.8766,9.8355,0.0411
14,0.3382,9.8793,9.8381,0.0412
15,0.3387,9.8470,9.8065,0.0406
16,0.3391,9.7881,9.7490,0.0391
17,0.3391,9.7693,9.7303,0.0389
18,0.3391,9.8000,9.7616,0.0385
19,0.3391,9.7699,9.7320,0.0379
20,0.3390,9.7572,9.7185,0.0386
21,0.3390,9.7743,9.7368,0.0375
22,0.3391,9.7408,9.7035,0.0373
23,0.3387,9.7289,9.6915,0.0374
24,0.3388,9.7091,9.6718,0.0373
25,0.3389,9.7387,9.7022,0.0365
26,0.3388,9.7078,9.6708,0.0370
27,0.3387,9.7277,9.6908,0.0369
28,0.3388,9.7199,9.6829,0.0370
29,0.3386,9.7140,9.6776,0.0364
30,0.3388,9.6952,9.6586,0.0366
31,0.3388,9.7156,9.6799,0.0358
32,0.3387,9.7290,9.6922,0.0368
33,0.3387,9.7101,9.6736,0.0365
34,0.3388,9.7064,9.6692,0.0372
35,0.3390,9.7250,9.6894,0.0356
36,0.3388,9.7195,9.6829,0.0366
37,0.3389,9.6844,9.6481,0.0363
38,0.3390,9.6982,9.6616,0.0366
39,0.3390,9.6995,9.6634,0.0361
40,0.3390,9.7048,9.6682,0.0366
41,0.3390,9.6875,9.6509,0.0366
42,0.3390,9.6941,9.6574,0.0368
43,0.3390,9.7057,9.6694,0.0363
44,0.3390,9.7081,9.6720,0.0360
45,0.3390,9.6919,9.6561,0.0358
46,0.3390,9.7015,9.6656,0.0358
47,0.3390,9.6815,9.6448,0.0366
48,0.3390,9.6703,9.6337,0.0366
49,0.3390,9.7002,9.6636,0.0367
50,0.3390,9.6971,9.6613,0.0358
