Epoch,AUPRC,Loss,BCE,KLD
1,0.2361,599.4269,23.1680,576.2589
2,0.2761,155.7216,21.5508,134.1708
3,0.2996,58.0788,21.2475,36.8313
4,0.3136,30.7340,20.9117,9.8223
5,0.3281,23.7703,20.7484,3.0219
6,0.3320,21.8953,20.5086,1.3868
7,0.3284,21.3067,20.4112,0.8955
8,0.3289,20.9675,20.3804,0.5872
9,0.3290,20.6517,20.2450,0.4068
10,0.3317,20.4880,20.1983,0.2897
11,0.3312,20.3414,20.1140,0.2274
12,0.3324,20.2568,20.0638,0.1930
13,0.3307,20.1610,19.9932,0.1678
14,0.3319,20.1667,20.0211,0.1456
15,0.3331,20.0655,19.9311,0.1344
16,0.3333,20.0339,19.9071,0.1268
17,0.3331,20.0626,19.9409,0.1217
18,0.3338,20.0158,19.8972,0.1186
19,0.3345,20.0478,19.9315,0.1163
20,0.3348,19.9858,19.8711,0.1147
