Epoch,AUPRC,Loss,BCE,KLD
1,0.2312,7.7630,5.1028,2.6602
2,0.3015,4.7011,4.6991,0.0020
3,0.3104,4.6149,4.6144,0.0005
4,0.3052,4.5590,4.5584,0.0006
5,0.3189,4.5106,4.5100,0.0006
6,0.3221,4.4769,4.4766,0.0003
7,0.3309,4.4829,4.4826,0.0003
8,0.3313,4.4473,4.4470,0.0002
9,0.3354,4.4406,4.4403,0.0003
10,0.3434,4.4147,4.4144,0.0003
11,0.3452,4.4155,4.4154,0.0001
12,0.3498,4.3961,4.3960,0.0001
13,0.3513,4.4028,4.4027,0.0001
14,0.3532,4.3972,4.3971,0.0001
15,0.3517,4.3790,4.3788,0.0001
16,0.3547,4.3822,4.3822,0.0001
17,0.3545,4.3580,4.3579,0.0001
18,0.3571,4.3724,4.3723,0.0001
19,0.3550,4.3588,4.3587,0.0001
20,0.3581,4.3623,4.3622,0.0001
